,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
22,ViT-B-16,datacomp_l_s1b_b8k,OpenCLIP,40.10846078,12,15.49280708,30.66060226,22.41529105,14.07407407,73.24481855,84.41176958,64.8923026,65.31878099,41.60203882,6,48.74,32.18312675,73.2,55.36,63.086,57.81613533,39.18507882,60.97,43.77156337
23,ViT-B-32,laion2b_s34b_b79k,OpenCLIP,44.91824308,23.33333333,15.1927987,30.98051978,24.89139878,19.25925926,77.53866145,87.96317228,67.81261019,67.18609653,40.66366022,7.5,56.3,39.3482607,84.2,66.76,66.542,62.2385186,42.26997947,70.25,53.05413035
24,ViT-B-16,laion2b_s34b_b88k,OpenCLIP,42.2354886,19.33333333,14.95841866,31.40371417,24.37011295,15.55555556,79.69030633,88.5784602,67.49896558,67.91901835,40.88102387,8.25,59.46,42.34306277,86.2,69.8,70.224,63.23400056,41.72286647,72.83,56.07153139
25,ViT-L-14,laion2b_s32b_b82k,OpenCLIP,44.02493906,24,16.9255236,33.08557582,26.02085143,23.7037037,80.32121687,90.56899662,68.223051,68.42689617,43.10360514,8.75,63.34,46.51739304,89.5,75.52,75.248,66.97572849,43.92952995,76.42,61.01869652
26,ViT-g-14,laion2b_s34b_b88k,OpenCLIP,46.48056056,31.33333333,17.89261277,33.24288438,28.32319722,24.44444444,81.73240774,90.37455154,68.67163358,69.32081554,40.90183555,9,66.34,48.7564974,91.4,77.7,78.466,69.59916669,45.14318972,78.87,63.2282487
27,ViT-H-14,laion2b_s32b_b79k,OpenCLIP,46.97553559,32,16.49151972,32.92641569,27.36750652,22.96296296,82.44173652,90.65085063,68.08962521,68.43985585,41.84071951,10.5,65.96,49.48420632,90.7,77.62,77.948,69.10270241,45.05722735,78.33,63.55210316
28,ViT-bigG-14,laion2b_s39b_b160k,OpenCLIP,45.29202314,40,16.9679271,33.34922974,28.14943527,25.18518519,82.95655001,91.42095392,70.54427592,68.52357543,42.78359436,12,67.28,51.39544182,92.9,79.54,80.09,70.85993112,46.43106251,80.09,65.46772091
29,EVA01-g-14,laion400m_s11b_b41k,OpenCLIP,55.95513426,17,20.32122065,32.66894031,25.4995656,15.55555556,77.13619645,90.13099817,69.39200355,69.28810938,41.19030474,9.25,61.74,44.06237505,88.2,72.64,78.51,67.61432697,43.61566905,74.97,58.35118752
30,EVA02-B-16,merged2b_s8b_b131k,OpenCLIP,53.36337909,11,16.60308487,31.88752695,24.76107732,17.03703704,77.38122889,88.42923567,68.99845067,68.11058754,40.96546889,9,58.74,42.15913635,86.1,71.38,74.726,63.49965089,42.29475641,72.42,56.76956817
31,EVA02-L-14,merged2b_s4b_b131k,OpenCLIP,51.66980815,12.66666667,17.79783422,33.28189161,25.1520417,18.51851852,79.67330037,90.35320765,70.5779252,70.41377174,42.08940422,10.25,63.74,47.5009996,89.7,77.28,79.766,70.0296286,43.53703084,76.72,62.3904998
32,EVA02-E-14,laion2b_s4b_b115k,OpenCLIP,46.45966232,33.66666667,17.15268468,33.878362,26.7593397,24.44444444,82.21594355,91.52040074,68.76300028,68.50806218,41.94575606,12.5,67.46,50.33186725,92.2,78.16,81.958,71.60047998,45.65119355,79.83,64.24593363
33,ViT-L-14-CLIPA,datacomp1b,OpenCLIP,40.72267571,20.66666667,14.43817072,34.15483044,27.15030408,13.33333333,78.50041698,90.39081635,67.75666066,67.08580618,41.97104885,7,65.14,46.94922031,90.2,73.58,79.594,68.64259521,41.93089417,77.67,60.26461016
34,ViT-H-14-CLIPA,datacomp1b,OpenCLIP,37.75458946,22.66666667,14.90523114,34.5067165,27.06342311,16.2962963,79.90039988,90.88073088,69.04528064,68.35380737,40.57145602,9,67,49.07636945,91.1,75.9,81.518,71.13652272,42.5787165,79.05,62.48818473
35,ViT-bigG-14-CLIPA,datacomp1b,OpenCLIP,39.53721309,28,14.65048057,34.81130938,27.36750652,16.2962963,82.08562945,91.33991517,68.13829203,68.36439804,41.92933999,10.75,67.92,49.93602559,91.9,77.88,82.688,73.28307435,43.60586504,79.91,63.90801279
36,ViT-B-16,dfn2b,OpenCLIP,32.98417727,23.33333333,12.93734801,32.50623064,25.89052997,22.96296296,78.84254628,87.70783538,67.54100949,64.51241099,40.2015381,10,60.42,43.38664534,85.5,69.1,76.25,64.57276761,41.61832687,72.96,56.24332267
37,ViT-L-14-quickgelu,dfn2b,OpenCLIP,34.55683707,27.66666667,12.6762611,34.04364289,28.49695917,27.40740741,80.94361963,89.41180507,68.16918195,66.17203313,40.5673279,9.75,65.66,48.54858057,89.8,75.34,81.412,69.93653129,43.32181183,77.73,61.94429028
38,ViT-H-14-quickgelu,dfn5b,OpenCLIP,37.53232814,45,14.08848372,35.28738499,30.66898349,31.85185185,83.40911165,91.05572414,70.66336976,67.40104342,41.38471035,11,72.24,53.90643743,92.9,80.14,83.424,74.86047656,46.61191596,82.57,67.02321871
39,ViT-B-16-SigLIP,webli,OpenCLIP,40.98276916,30.66666667,17.23223871,34.49672931,27.84535187,22.96296296,80.17585381,88.75997592,69.39589526,67.25046766,41.08282564,10.25,65.72,47.82087165,89.1,74.64,76.052,67.53057091,44.25847808,77.41,61.23043583
40,ViT-L-16-SigLIP-256,webli,OpenCLIP,43.21367631,37,19.74385891,35.4350266,29.19200695,28.14814815,82.64247425,90.38712711,71.15480609,68.50854232,41.12896337,13.75,70.78,52.29108357,91.8,79.02,80.456,71.12770887,46.69205251,81.29,65.65554178
41,ViT-SO400M-14-SigLIP,webli,OpenCLIP,44.95008715,39.66666667,12.55909059,36.11643503,27.49782798,28.14814815,80.6823514,90.58593109,62.56415372,68.97220682,41.63410932,15.75,69.7,51.77928828,91,75.22,82.04,72.9639152,45.76058399,80.35,63.49964414
